Match,Score,Runs_scored,Balls_faced,Strike_rate,Fours,Sixes,Opposition,Ground,Date,Odi_number,Aggr,Avg,How_Dismissed
242,79*,79,73,108.21,6,3,v New Zealand,Seddon Park,28/01/2014,ODI # 3465,7999,53.33,not out
243,47,47,72,65.27,3,0,v New Zealand,Westpac Stadium,31/01/2014,ODI # 3467,8046,53.28,c J D S Neesham b K S Williamson
244,52,52,51,101.96,6,0,v England,Sophia Gardens,27/08/2014,ODI # 3517,8098,53.28,b C R Woakes
245,DNB,-,-,-,-,-,v England,Trent Bridge,30/08/2014,ODI # 3520,8098,53.28,did not bat
246,DNB,-,-,-,-,-,v England,Edgbaston,02-09-2014,ODI # 3523,8098,53.28,did not bat
247,29,29,42,69.04,1,1,v England,Headingley,05-09-2014,ODI # 3525,8127,53.12,c B A Stokes b S T Finn
248,8,8,21,38.09,0,0,v West Indies,Nehru Stadium (Kochi),08-10-2014,ODI # 3531,8135,52.82,b D J G Sammy
249,51*,51,40,127.5,5,1,v West Indies,Arun Jaitley Stadium,11-10-2014,ODI # 3533,8186,53.16,not out
250,6,6,5,120,0,0,v West Indies,Himachal Pradesh Cricket Association Stadium,17/10/2014,ODI # 3535,8192,52.85,run out
251,19,19,31,61.29,2,0,v Australia,Melbourne Cricket Ground,18/01/2015,ODI # 3582,8211,52.63,b M A Starc
252,34,34,61,55.73,1,0,v England,Brisbane Cricket Ground,20/01/2015,ODI # 3586,8245,52.52,c †J C Buttler b S T Finn
253,DNB,-,-,-,-,-,v Australia,Sydney Cricket Ground,26/01/2015,ODI # 3592,8245,52.52,did not bat
254,17,17,32,53.12,3,0,v England,WACA Ground,30/01/2015,ODI # 3595,8262,52.29,lbw b J M Anderson
255,18,18,13,138.46,1,1,v Pakistan,Adelaide Oval,15/02/2015,ODI # 3602,8280,52.08,c Misbah-ul-Haq b Sohail Khan
256,18,18,11,163.63,3,0,v South Africa,Melbourne Cricket Ground,22/02/2015,ODI # 3610,8298,51.86,c †Q de Kock b M Morkel
257,DNB,-,-,-,-,-,v U.A.E.,WACA Ground,28/02/2015,ODI # 3618,8298,51.86,did not bat
258,45*,45,56,80.35,3,1,v West Indies,WACA Ground,06-03-2015,ODI # 3625,8343,52.14,not out
259,DNB,-,-,-,-,-,v Ireland,Seddon Park,10-03-2015,ODI # 3631,8343,52.14,did not bat
260,85*,85,76,111.84,8,2,v Zimbabwe,Eden Park,14/03/2015,ODI # 3636,8428,52.68,not out
261,6,6,11,54.54,0,0,v Bangladesh,Melbourne Cricket Ground,19/03/2015,ODI # 3641,8434,52.39,c Nasir Hossain b Taskin Ahmed
262,65,65,65,100,3,2,v Australia,Sydney Cricket Ground,26/03/2015,ODI # 3645,8499,52.46,run out
263,5,5,7,71.42,0,0,v Bangladesh,Shere Bangla National Stadium,18/06/2015,ODI # 3658,8504,52.17,c †Mushfiqur Rahim b Shakib Al Hasan
264,47,47,75,62.66,3,0,v Bangladesh,Shere Bangla National Stadium,21/06/2015,ODI # 3660,8551,52.14,c Soumya Sarkar b Mustafizur Rahman
265,69,69,77,89.61,6,1,v Bangladesh,Shere Bangla National Stadium,24/06/2015,ODI # 3661,8620,52.24,c Mustafizur Rahman b Mashrafe Mortaza
266,31,31,30,103.33,1,0,v South Africa,Green Park,11-10-2015,ODI # 3689,8651,52.11,c & b K Rabada
267,92*,92,86,106.97,7,4,v South Africa,Holkar Cricket Stadium,14/10/2015,ODI # 3692,8743,52.67,not out
268,47,47,61,77.04,5,0,v South Africa,Saurashtra Cricket Association Stadium,18/10/2015,ODI # 3695,8790,52.63,c D W Steyn b M Morkel
269,15,15,16,93.75,1,0,v South Africa,MA Chidambaram Stadium,22/10/2015,ODI # 3698,8805,52.41,c A B de Villiers b D W Steyn
270,27,27,29,93.1,3,0,v South Africa,Wankhede Stadium,25/10/2015,ODI # 3700,8832,52.26,b Imran Tahir
271,18,18,13,138.46,1,1,v Australia,WACA Ground,12-01-2016,ODI # 3723,8850,52.06,c S M Boland b J P Faulkner
272,11,11,10,110,0,0,v Australia,Brisbane Cricket Ground,15/01/2016,ODI # 3724,8861,51.82,c G J Maxwell b S M Boland
273,23,23,9,255.55,2,2,v Australia,Melbourne Cricket Ground,17/01/2016,ODI # 3725,8884,51.65,c G J Maxwell b J W Hastings
274,0,0,3,0,0,0,v Australia,Manuka Oval,20/01/2016,ODI # 3726,8884,51.35,c †M S Wade b J W Hastings
275,34,34,42,80.95,1,1,v Australia,Sydney Cricket Ground,23/01/2016,ODI # 3727,8918,51.25,c D A Warner b M R Marsh
276,DNB,-,-,-,-,-,v Zimbabwe,Harare Sports Club,11-06-2016,ODI # 3742,8918,51.25,did not bat
277,DNB,-,-,-,-,-,v Zimbabwe,Harare Sports Club,13/06/2016,ODI # 3744,8918,51.25,did not bat
278,DNB,-,-,-,-,-,v Zimbabwe,Harare Sports Club,15/06/2016,ODI # 3746,8918,51.25,did not bat
279,21,21,24,87.5,1,1,v New Zealand,Himachal Pradesh Cricket Association Stadium,16/10/2016,ODI # 3796,8939,51.08,run out
280,39,39,65,60,3,0,v New Zealand,Arun Jaitley Stadium,20/10/2016,ODI # 3797,8978,51.01,c & b T G Southee
281,80,80,91,87.91,6,3,v New Zealand,Punjab Cricket Association IS Bindra Stadium,23/10/2016,ODI # 3798,9058,51.18,c L R P L Taylor b M J Henry
282,11,11,31,35.48,0,0,v New Zealand,JSCA International Stadium Complex,26/10/2016,ODI # 3799,9069,50.95,b J D S Neesham
283,41,41,59,69.49,4,1,v New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,29/10/2016,ODI # 3800,9110,50.89,lbw b M J Santner
284,6,6,6,100,1,0,v England,Maharashtra Cricket Association Stadium,15/01/2017,ODI # 3819,9116,50.64,c D J Willey b J T Ball
285,134,134,122,109.83,10,6,v England,Barabati Stadium,19/01/2017,ODI # 3821,9250,51.1,c D J Willey b L E Plunkett
286,25,25,36,69.44,1,1,v England,Eden Gardens,22/01/2017,ODI # 3824,9275,50.96,c †J C Buttler b J T Ball
287,DNB,-,-,-,-,-,v Pakistan,Edgbaston,04-06-2017,ODI # 3878,9275,50.96,did not bat
288,63,63,52,121.15,7,2,v Sri Lanka,Kennington Oval,08-06-2017,ODI # 3882,9338,51.03,c L D Chandimal b N L T C Perera
289,DNB,-,-,-,-,-,v South Africa,Kennington Oval,11-06-2017,ODI # 3886,9338,51.03,did not bat
290,DNB,-,-,-,-,-,v Bangladesh,Edgbaston,15/06/2017,ODI # 3891,9338,51.03,did not bat
291,4,4,16,25,0,0,v Pakistan,Kennington Oval,18/06/2017,ODI # 3894,9342,50.77,c Imad Wasim b Hasan Ali
292,9*,9,9,100,1,0,v West Indies,Queen's Park Oval,23/06/2017,ODI # 3895,9351,50.82,not out
293,13*,13,13,100,1,0,v West Indies,Queen's Park Oval,25/06/2017,ODI # 3896,9364,50.89,not out
294,78*,78,79,98.73,4,2,v West Indies,Sir Vivian Richards Stadium,30/06/2017,ODI # 3898,9442,51.32,not out
295,54,54,114,47.36,1,0,v West Indies,Sir Vivian Richards Stadium,02-07-2017,ODI # 3900,9496,51.33,c A S Joseph b K O K Williams
296,DNB,-,-,-,-,-,v West Indies,Sabina Park,06-07-2017,ODI # 3902,9496,51.33,did not bat
297,DNB,-,-,-,-,-,v Sri Lanka,Rangiri Dambulla International Stadium,20/08/2017,ODI # 3905,9496,51.33,did not bat
298,45*,45,68,66.17,1,0,v Sri Lanka,Pallekele International Cricket Stadium,24/08/2017,ODI # 3906,9541,51.57,not out
299,67*,67,86,77.9,4,1,v Sri Lanka,Pallekele International Cricket Stadium,27/08/2017,ODI # 3907,9608,51.94,not out
